RESOURCE,Fruit_length,Fruit_diameter,Seed_length,Seed_diameter,CONSUMER,INTSTR
Musa paradisiaca,120,30,NA,4,Anoura caudifer,1
Piper aduncum,166,6,0.84,0.34,Anoura geoffroyi,1
Piper arboreum,120,10,NA,NA,Anoura geoffroyi,0.5
Piper gaudichaudianum,100,6,1,0.8,Anoura geoffroyi,0.5
Cecropia glaziovii,230,12.62,2,0.62,Artibeus fimbriatus,1
Cecropia hololeuca,230,20.58,2.9,0.98,Artibeus fimbriatus,0.5
Cecropia pachystachya,200,10,2,0.61,Artibeus fimbriatus,1
Ficus catappifolia,32,23,1,0.5,Artibeus fimbriatus,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Artibeus fimbriatus,0.5
Ficus cyclophylla,14,12,1.4,1.2,Artibeus fimbriatus,0.5
Ficus enormis,14,14,1.2,1,Artibeus fimbriatus,0.75
Ficus glabra,16.6,18,1,0.5,Artibeus fimbriatus,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Artibeus fimbriatus,0.5
Ficus hirsuta,7,6,0.5,0.3,Artibeus fimbriatus,0.5
Ficus insipida,17,20,2.8,1.7,Artibeus fimbriatus,1
Ficus microcarpa,10,8,0.9,0.7,Artibeus fimbriatus,0.5
Ficus organensis,8,7,0.7,0.7,Artibeus fimbriatus,0.75
Ficus pertusa,8,8,1.1,1.1,Artibeus fimbriatus,0.5
Ficus pulchella,17.93,18,0.8,0.7,Artibeus fimbriatus,0.5
Maclura tinctoria,14.2,12.6,2.5,2.1,Artibeus fimbriatus,1
Manilkara subsericea,21,19,11.5,7,Artibeus fimbriatus,0.5
Piper aduncum,166,6,0.84,0.34,Artibeus fimbriatus,1
Piper arboreum,120,10,NA,NA,Artibeus fimbriatus,0.75
Piper gaudichaudianum,100,6,1,0.8,Artibeus fimbriatus,0.75
Psychotria carthagenensis,5.2,5.5,5,4.3,Artibeus fimbriatus,0.5
Psychotria deflexa,5.09,4.02,3,2.4,Artibeus fimbriatus,0.5
Psychotria leiocarpa,8,9,3,2.4,Artibeus fimbriatus,0.5
Psychotria myriantha,5.4,6.2,4,3,Artibeus fimbriatus,0.5
Psychotria nuda,8.7,7,NA,NA,Artibeus fimbriatus,0.5
Psychotria suterella,11,13,4,3,Artibeus fimbriatus,1
Psychotria vellosiana,0.4,3.7,NA,NA,Artibeus fimbriatus,0.5
Rubus rosifolius,15,12.6,1.5,1,Artibeus fimbriatus,0.75
Rubus urticifolius,10,8,2.2,1.4,Artibeus fimbriatus,0.5
Solanum americanum,6,6.2,1.4,1,Artibeus fimbriatus,0.5
Solanum argenteum,20,11,2.2,2,Artibeus fimbriatus,0.5
Solanum caavurana,15,10,2.5,2,Artibeus fimbriatus,0.75
Solanum megalochiton,7.6,6.3,NA,NA,Artibeus fimbriatus,0.5
Syagrus pseudococos,60,42,15,15,Artibeus fimbriatus,0.5
Andira anthelmia,40,35,35,30,Artibeus jamaicensis,0.5
Andira legalis,84.88,70.72,82.9,63.84,Artibeus jamaicensis,0.5
Annona cacans,65.67,115,12.9,7,Artibeus jamaicensis,0.5
Artocarpus heterophyllus,600,325,32.5,23.5,Artibeus jamaicensis,0.75
Artocarpus integrifolia,360,270,29,22,Artibeus jamaicensis,0.5
Cecropia glaziovii,230,12.62,2,0.62,Artibeus jamaicensis,1
Cecropia hololeuca,230,20.58,2.9,0.98,Artibeus jamaicensis,0.5
Cecropia pachystachya,200,10,2,0.61,Artibeus jamaicensis,1
Coffea arabica,11,8,10,5,Artibeus jamaicensis,0.75
Eriobotrya japonica,30,23,13,11,Artibeus jamaicensis,1
Ficus catappifolia,32,23,1,0.5,Artibeus jamaicensis,0.5
